ID da obra,Código da obra,Contratada,Fim previsto,Início da obra,Data da ordem de serviço,Descrição,Dias aditivado,Latitude,Longitude,Município,Número da licitação,Número da ordem de serviço,Número SACC,Percentual executado,Prazo inicial,Secretaria/Órgão,Situação,Tipo do contrato,Valor
7957,0582018SOP04,MPI,2/7/2019,4/6/2018,30/5/2018,EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DO MACIÇO DE BATURITÉ NA LOCALIDADE DE BARREIRA - CE,271,"-4,286458","-38,641745",BARREIRA,20170031,081/2018,1045694,"91,52",90,SOP,Em Execução,Obra,"207120,69"
7968,072018SEMA01,N2 INCORPORAÇÕES LTDA - EPP,26/1/2022,4/6/2018,4/6/2018,OBRAS DE URBANIZAÇÃO DO PARQUE DO COCÓ EM FORTALEZA-CE,843,"-3,761336","-38,50551",FORTALEZA,20170003,084/2018,1046841,"97,77",240,SECRETARIA DO MEIO AMBIENTE,Em Execução,Obra,"3760582,63"
7958,0582018SOP05,MPI,2/7/2019,4/6/2018,30/5/2018,EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DO MACIÇO DE BATURITÉ NA LOCALIDADE DE BATURITÉ - CE,271,"-4,3389415","-38,869105",BATURITÉ,20170031,081/2018,1045694,"97,73",90,SOP,Concluída,Obra,"207120,69"
7960,0582018SOP07,MPI,2/7/2019,4/6/2018,30/5/2018,EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DO MACIÇO DE BATURITÉ NA LOCALIDADE DE GUARAMIRANGA - CE,271,"-4,26333","-38,938858",GUARAMIRANGA,20170031,081/2018,1045694,"97,76",90,SOP,Concluída,Obra,"207120,69"
7961,0582018SOP08,MPI,2/7/2019,4/6/2018,30/5/2018,EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DO MACIÇO DE BATURITÉ NA LOCALIDADE DE ITAPIÚNA - CE,271,,,ITAPIÚNA,20170031,081/2018,1045694,"96,83",90,SOP,Concluída,Obra,"207120,69"
7967,01532018SPS01,SALINAS EMPREENDIMENTOS E CONSTRUÇÕES LTDA-ME,3/2/2019,6/6/2018,30/5/2018,"CONSTRUÇÃO DE CENTRO DE ESPORTES EM PRAÇA - PRAÇA MAIS INFÂNCIA NO MUNICÍPIO DE CANINDÉ - CE
",90,"-4,359091","-39,30371217",CANINDÉ,20170038,082/2018,1044032,100,120,SPS,Concluída,Obra,"933929,21"
7572,0182017SECULT01,CONCRETIZA,11/2/2018,9/3/2017,13/3/2017,"OBRA DE REFORMA DO MUSEU DA IMAGEM E SOM - MIS, NO MUNICÍPIO DE FORTALEZA - CE",0,,,FORTALEZA,20160001,011/2017,1005970,"24,53",180,SECULT,Cancelada,Obra,"1196550,79"
7457,02262016SEDUC02,PLATÔ,10/9/2020,23/8/2016,27/4/2016,CONSTRUÇÃO DE UMA ESCOLA PROFISSIONALIZANTE NO MUNICÍPIO DE ITATIRA - CE,996,,,ITATIRA,20140011,074/2016,979022,100,360,SEDUC,Concluída,Obra,"7515951,89"
6984,0582015SESA08,OK EMPREENDIMENTOS,7/8/2015,9/7/2015,9/7/2015,"SERVIÇOS DE MANUTENÇÃO PREVENTIVA, CORRETIVA E REFORMA EM PRÉDIOS PÚBLICOS - SESA - HOSPITAL GERAL DR. CESAR CALS DE OLIVEIRA/HGCCO - FORNECIMENTO E INSTALAÇÕES DE DIVISÓRIAS EM PVC NAS UTI'S NEOS NATAL",0,,,FORTALEZA,12014,075/2015,S2GPR,100,30,SESA,Concluida,Manutenção,"29298,6"
7954,0582018SOP01,MPI,2/7/2019,4/6/2018,30/5/2018,EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DO MACIÇO DE BATURITÉ NA LOCALIDADE DE ACARAPE - CE,271,"-4,276013","-38,682825",ACARAPE,20170031,081/2018,1045694,"97,76",90,SOP,Concluída,Obra,"207120,69"
7959,0582018SOP06,MPI,2/7/2019,4/6/2018,30/5/2018,EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DO MACIÇO DE BATURITÉ NA LOCALIDADE DE CAPISTRANO - CE,271,"-4,466607","-38,903575",CAPISTRANO,20170031,081/2018,1045694,"97,76",90,SOP,Concluída,Obra,"207120,69"
7066,0222015STDS01,OK EMPREENDIMENTOS,7/3/2016,9/12/2015,9/12/2015,"SERVIÇOS DE MANUTENÇÃO PREVENTIVA, CORRETIVA E REFORMA EM PRÉDIOS PÚBLICOS - STDS - REFORMA DO CITS MUCURIPE, EM FORTALEZA-CE",0,,,FORTALEZA,20140002,173/2015,S2GPR,100,90,STDS,Concluida,Manutenção,"442117,02"
7106,0672016SESA02,OK EMPREENDIMENTOS,14/7/2017,20/6/2016,20/6/2016,"SERVIÇOS DE MANUTENÇÃO PREVENTIVA, CORRETIVA E REFORMA EM PREDIOS PÚBLICOS - SESA - HIAS - HOSPITAL INFANTIL ALBERT SABIN -  MANUTENÇÃO DO HOSPITAL ABRIGO GERADOR",360,,,FORTALEZA,20140002,035/2016,950919,100,30,SESA,Em Execução,Manutenção,"25050,58"
7456,02262016SEDUC01,PLATÔ,10/9/2020,23/8/2016,27/4/2016,CONSTRUÇÃO DE UMA ESCOLA PROFISSIONALIZANTE NO MUNICÍPIO DE ITATIRA - CE,996,,,ITATIRA,20140011,074/2016,979022,100,360,SEDUC,Concluída,Obra,"5917941,15"
7962,0582018SOP09,MPI,2/7/2019,4/6/2018,30/5/2018,EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DO MACIÇO DE BATURITÉ NA LOCALIDADE DE MULUNGU - CE,271,"-4,299793","-38,99835",MULUNGU,20170031,081/2018,1045694,"97,73",90,SOP,Concluída,Obra,"207120,69"
7964,0582018SOP11,MPI,2/7/2019,4/6/2018,30/5/2018,EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DO MACIÇO DE BATURITÉ NA LOCALIDADE DE PACOTI - CE,271,,,PACOTI,20170031,081/2018,1045694,"68,56",90,SOP,Em Execução,Obra,"207120,69"
7965,0582018SOP12,MPI,2/7/2019,4/6/2018,30/5/2018,EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DO MACIÇO DE BATURITÉ NA LOCALIDADE DE PALMÁCIA- CE,271,"-4,147538","-38,845852",PALMÁCIA,20170031,081/2018,1045694,"97,66",90,SOP,Concluída,Obra,"207120,69"
7966,0582018SOP13,MPI,2/7/2019,4/6/2018,30/5/2018,EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DO MACIÇO DE BATURITÉ NA LOCALIDADE DE REDENÇÃO- CE,271,"-4,368895","-38,814955",REDENÇÃO,20170031,081/2018,1045694,0,90,SOP,Em Execução,Obra,"207120,69"
7963,0582018SOP10,MPI,2/7/2019,4/6/2018,30/5/2018,EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DO MACIÇO DE BATURITÉ NA LOCALIDADE DE OCARA - CE,271,"-4,518753","-38,615082",OCARA,20170031,081/2018,1045694,"93,97",90,SOP,Em Execução,Obra,"207120,69"
7680,02562017SEDUC01,VIEIRA ALVES,4/4/2019,27/7/2017,28/6/2017,CONSTRUÇÃO DE QUADRA COBERTA COM VESTIÁRIO EEFM JOSÉ LEOPOLDINO DA SILVA FILHO - FORTALEZA/CE,464,,,FORTALEZA,20150001,107/2017,1004411,100,120,SEDUC,Concluída,Obra,"328893,91"
7179,0722016DETRAN01,DATERRA CONSTRUÇÕES E SERVIÇOS LTDA - ME,22/3/2017,6/2/2017,7/11/2016,"SERVIÇOS DE MANUTENÇÃO PREVENTIVA, CORRETIVA E REFORMA EM PRÉDIOS PÚBLICOS - DETRAN - MANUTENÇÃO DETRAN MESSEJANA",0,,,FORTALEZA,12016,104/2016,S2GPR,0,45,DETRAN,Em Execução,Manutenção,"19066,32"
7681,02562017SEDUC02,VIEIRA ALVES,4/4/2019,27/7/2017,28/6/2017,CONSTRUÇÃO DE QUADRA COBERTA COM VESTIÁRIO EEFM JOSÉ LEOPOLDINO DA SILVA FILHO - FORTALEZA/CE,464,,,FORTALEZA,20150001,108/2017,1004411,100,120,SEDUC,Concluída,Obra,"489390,63"
7398,02042016SEDUC01,PLATÔ,24/1/2020,7/3/2016,25/2/2016,"OBRA DE CONSTRUÇÃO DA ESCOLA DE ENSINO FUNDAMENTAL E MÉDIO ADALGISA BONFIM SOARES COM 12 SALAS, NO MUNICÍPIO DE FORTALEZA - CE",1146,,,FORTALEZA,20140037,051/2016,974718,"99,74",240,SEDUC,Paralisada,Obra,"5635528,2"
7399,02042016SEDUC02,PLATÔ,24/1/2020,7/3/2016,25/2/2016,"OBRA DE CONSTRUÇÃO DA ESCOLA DE ENSINO FUNDAMENTAL E MÉDIO ADALGISA BONFIM SOARES COM 12 SALAS, NO MUNICÍPIO DE FORTALEZA - CE",1146,,,FORTALEZA,20140037,051/2016,974718,"88,03",240,SEDUC,Paralisada,Obra,"2179938,06"
6985,0582015SESA09,OK EMPREENDIMENTOS,6/9/2015,9/7/2015,9/7/2015,"SERVIÇOS DE MANUTENÇÃO PREVENTIVA, CORRETIVA E REFORMA EM PRÉDIOS PÚBLICOS - SESA - HOSPITAL GERAL DR. CESAR CALS DE OLIVEIRA/HGCCO - RECUPERAÇÃO DA GESTÃO DE COMPRAS, ROUPARIA E CENTRO DE ESTUDOS",0,,,FORTALEZA,12014,077/2015,S2GPR,100,60,SESA,Concluida,Manutenção,"92814,62"
7796,01222017SPS06,SM CONSTUÇÕES LTDA - EPP,1/7/2018,21/6/2018,22/12/2017,"SERVIÇO DE ASSENTAMENTO DE PISO EMBORRACHADO, ANTI-IMPACTO E DRENANTE, COM FORNECIMENTO DE MATERIAL, PARA AS OBRAS DO PROGRAMA MAIS INFÂNCIA CEARÁ, NO MUNICIPIO DE GUARAMIRANGA - CE",0,,,GUARAMIRANGA,22017,194/2017,1033417,100,10,SPS,Concluída,Obra,"54380,44"
7799,03032017SEDUC01,FORTEKS ENGENHARIA,20/1/2022,16/1/2018,10/1/2018,CONCLUSÃO DA CONSTRUÇÃO DE UMA ESCOLA EEMI COM 12 (DOZE) SALAS - ESTADO DE ALAGOAS EM FORTALEZA-CE,682,,,FORTALEZA,20160014,007/2018,1033095,"73,46",360,SEDUC,Em Execução,Obra,"1199521,89"
7460,02282016SEDUC01,PLATÔ,9/8/2018,20/7/2016,27/4/2016,"CONSTRUÇÃO DE UMA ESCOLA EEMI OTÁVIO TERCEIRO FARIAS, COM 12 SALAS, NO MUNICÍPIO DE FORTALEZA - CE",510,,,FORTALEZA,20140014,144/2016,975453,100,240,SEDUC,Concluída,Obra,"2014458,75"
7461,02282016SEDUC02,PLATÔ,9/8/2018,20/7/2016,27/4/2016,"CONSTRUÇÃO DE UMA ESCOLA EEMI OTÁVIO TERCEIRO FARIAS, COM 12 SALAS, NO MUNICÍPIO DE FORTALEZA - CE",510,,,FORTALEZA,20140014,144/2016,975453,100,240,SEDUC,Concluída,Obra,"5509197,87"
7546,0762017SESA01,SALINAS EMPREENDIMENTOS E CONSTRUÇÕES LTDA-ME,24/7/2018,1/3/2017,1/3/2017,EXECUÇÃO DAS OBRAS DOS SERVIÇOS COMPLEMENTARES DA POLICLÍNICA DO TIPO - II DE MARACANAÚ.,360,,,MARACANAÚ,20160001,006/2017,1005971,100,150,SESA,Concluída,Obra,"1649489,69"
7452,02242016SEDUC02,CONST. PORTO,17/10/2018,23/8/2016,27/4/2016,CONSTRUÇÃO DE UMA ESCOLA PROFISSIONALIZANTE NO MUNICÍPIO DE BATURITÉ - CE,425,,,BATURITÉ,20140007,072/2016,979144,100,360,SEDUC,Concluída,Obra,"8889718,25"
7208,0262015CIDADES01,CETRO,20/3/2020,19/1/2015,19/1/2015,"SERVIÇOS DE URBANIZAÇÃO, INFRA-ESTRUTURA E CONSTRUÇÃO DE 1080 UNIDADES HABITACIONAIS LOCALIZADAS NO REASSENTAMENTO DENDÊ NO MUNICÍPIO DE FORTALEZA-CE",1315,"-3,772327","-38,459461",FORTALEZA,20130004,006/2015,930654,"99,91",540,S. CIDADES,Em Execução,Obra,"44408322,58"
7969,03172018SEDUC01,HERMAGRAN,23/7/2021,19/6/2018,8/6/2018,OBRA DE CONCLUSÃO DA CONSTRUÇÃO DA ESCOLA DE ENSINO MÉDIO DE 6 SALAS EM TRAPIÁ - SANTA QUITÉRIA/CE,814,,,SANTA QUITÉRIA,20180001,086/2018,1045666,100,180,SEDUC,Em Execução,Obra,"430614,21"
7970,03172018SEDUC02,HERMAGRAN,23/7/2021,19/6/2018,8/6/2018,OBRA DE CONCLUSÃO DA CONSTRUÇÃO DA ESCOLA DE ENSINO MÉDIO DE 6 SALAS EM TRAPIÁ - SANTA QUITÉRIA/CE,814,,,SANTA QUITÉRIA,20180001,086/2018,1045666,100,180,SEDUC,Em Execução,Obra,"945169,73"
7693,02832017SEDUC01,OK EMPREENDIMENTO,21/8/2018,2/10/2017,20/9/2017,"CONCLUSÃO DA CONSTRUÇÃO DA ESCOLA DE ENSINO MÉDIO, EM ÁREA RURAL, NO ASSENTAMENTO SALÃO, NO MUNICÍPIO DE MOMBAÇA - LOTE I",107,,,MOMBAÇA,20160002,116/2017,1023076,100,150,SEDUC,Concluída,Obra,"638366,69"
6922,0582015SESA01,OK EMPREENDIMENTOS,7/6/2015,24/4/2015,24/4/2015,"SERVIÇOS DE MANUTENÇÃO PREVENTIVA, CORRETIVA E REFORMA EM PRÉDIOS PÚBLICOS - SESA - HOSPITAL GERAL DR. CESAR CALS DE OLIVEIRA/HGCCO - REFORMA DO ANEXO CESAR CALS",0,,,FORTALEZA,12014,041/2015,S2GPR,100,45,SESA,Concluida,Manutenção,"55285,95"
7611,01142017DETRAN01,N2 INCORPORAÇÕES LTDA - EPP,23/2/2019,11/7/2017,10/7/2017,CONSTRUÇÃO DA REGIONAL DO DETRAN DE IGUATU - CE,360,,,IGUATU,20140007,069/2017,1012196,100,150,DETRAN,Concluída,Obra,1251423
7261,01472015SEDUC02,CAD CONSTRUÇÕES LTDA,16/3/2017,19/7/2016,19/7/2016,"OBRA DE CONSTRUÇÃO DE UMA ESCOLA EEMI - PARQUE PRESIDENTE VARGAS - COM 12 SALAS, EM FORTALEZA-CE",0,"-3,8226","-38,594875",FORTALEZA,20140013,091/2016,974158,"0,78",240,SEDUC,Cancelada,Obra,"5029277,14"
7223,0372015DETRAN09,P & M,13/10/2018,15/9/2016,27/1/2016,"SERVIÇO DE INSTALAÇÃO DE SUBESTAÇÃO, POSTES E REFLETORES PARA AS MACRORREGIÕES DO DEPARTAMENTO ESTADUAL DE TRÂNSITO - DETRAN/CE - QUIXADA - CE",668,"-4,955911","-39,056386",QUIXADÁ,20140005,032/2016,950690,100,90,DETRAN,Concluída,Obra,"450861,48"
7643,0202017SEFAZ01,MARCOS A. DOS SANTOS ME,17/3/2018,18/9/2017,11/9/2017,REFORMA DA COBERTA DO GALPÃO DE MERCADORIAS APREENDIDAS - SEFAZ,90,,,FORTALEZA,112017,109/2017,1017834,100,90,SEFAZ,Concluída,Obra,"190539,22"
6662,0242013SESA02,L23,25/6/2014,12/5/2014,12/5/2014,"SERVIÇOS DE MANUTENÇÃO PREVENTIVA, CORRETIVA E REFORMA EM PRÉDIOS PUBLICOS - SESA - CEO CENTRO - MANUTENÇÃO DE DIVERSOS SETORES",15,,,FORTALEZA,20130017,057/2014,S2GPR,100,30,SESA,Concluida,Manutenção,"127253,96"
2453,D015201000,DL EMPREENDIMENTOS,22/4/2013,27/9/2010,5/7/2010,"EXECUÇÃO DE MOBILIARIO FIXO NAS POLICLINICAS TIPO I NOS MUNICIPIO DE ACARAÚ, ARACATI, BATURITÉ,BREJO SANTO,CANINDE,ICÓ, ITAPIPOCA,PACAJUS, RUSSAS, TAUA CAMOCIM E CAMPO SALES",720,,,CAMOCIM,TP0012010,2812010,,"91,67",120,SESA,Concluída,Obra,529296
6396,SC01201200,COSAMPA,30/4/2013,13/3/2012,6/3/2012,OBRA DE PAV. E SINA. DO CENTRO HIST. DE BARBALHA,191,,,BARBALHA,,142012,,100,120,S. CIDADES,Concluída,Obra,"1360034,84"
7948,012018CPMGEF01,SECON,16/9/2018,18/6/2018,1/6/2018,"ADEQUAÇÃO E CLIMATIZAÇÃO DE 15 SALAS DE AULAS DO COLÉGIO DA POLÍCIA MILITAR GENERAL EDGARD FACÓ - CPMGEF
",0,"-3,738132","-38,578794",FORTALEZA,20170001,083/2018,1039257,100,90,COM,Concluída,Obra,"215511,62"
7167,0392016STDS01,SM,31/1/2017,19/10/2016,19/10/2016,SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM PRÉDIOS PÚBLICOS - STDS - MANUTENÇÃO DO PRÉDIO DO CENTRO PÚBLICO DE ECONOMIA SOLIDÁRIA - CAPISTRANO-CE,45,,,CAPISTRANO,20150001,091/2016,S2GPR,100,60,STDS,Em Execução,Manutenção,"139491,8"
7544,0402017CIDADES01,FORTEKS ENGENHARIA,8/2/2022,20/2/2017,20/2/2017,"OBRAS DE URBANIZAÇÃO DA LAGOA DO PONTAL, LOCALIZADA NO MUNICÍPIO DE QUIXERÉ NO ESTADO DO CEARÁ - VALE DO JAGUARIBE - CE",1122,,,QUIXERÉ,20160004,007/2017,1004854,"94,22",240,CIDADES,Em Execução,Obra,"5672599,34"
7669,02762017SEDUC04,CONSTRAM,16/12/2018,19/6/2018,8/6/2018,"CONSTRUÇÃO DE QUADRA COBERTA COM VESTIÁRIO (25,80X38), EEFM CAMPOS SALES, CAMPOS SALES - CE",0,,,CAMPOS SALES,20130017,087/2018,S/N,0,180,SEDUC,Paralisada,Obra,"386330,44"
2619,A269200900,LINEAR CONSTRUÇÕES,2/1/2012,11/1/2010,11/1/2010,CONSTRUÇÃO DA ESCOLA ESTADUAL DE EDUCAÇÃO PROFISSIONALIZANTES COM 12 SALAS PADRÕES NO MUNICIPIO DE GUAIUBA,390,,,GUAIÚBA,CP00092009,4732009,,"100,87",240,SEDUC,Concluída,Obra,"6374703,4"
4673,A004201001,STRUCTURA ENGENHARIA.,4/4/2012,5/5/2010,5/5/2010,CONSTRUÇÃO DE 02(DUAS)  ESCOLAS INDIGENAS COM DUAS SALAS NOS MUNICIPIOS DE CANINDE LOCALIDADE DE GAMELEIRA E TAMBORIL,449,,,CANINDÉ,CP00152009,1282010,,"97,69",120,SEDUC,Concluída,Obra,"300950,98"
6740,0372014SESA02,L23,11/11/2014,14/8/2014,14/8/2014,"SERVIÇOS DE MANUTENÇÃO PREVENTIVA, CORRETIVA E REFORMA EM PRÉDIOS PÚBLICOS - SESA - HOSPITAL GERAL DR.CESAR CALS DE OLIVEIRA - PRÉDIO ANEXO DO HOSPITAL GERAL DR. CÉSAR CALS DE OLIVEIRA - HGCCO",0,,,FORTALEZA,82013,130/2014,S2GPR,100,90,SESA,Concluida,Manutenção,"725531,66"
7887,0532018SOP01,M3 BUILDER,4/7/2019,4/9/2018,3/9/2018,"EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DA SERRA DA IBIAPABA/SERTÃO DE CANINDÉ/SERTÃO DOS INHAMUNS, NA LOCALIDADE DE CARNAUBAL - CE",181,,,CARNAUBAL,20170028,158/2018,1042973,100,90,SOP,Concluída,Obra,"146332,51"
6341,M074201000,JLJ,5/2/2013,11/4/2011,4/4/2011,REFORMA DO POSTO DE ATENDIMENTO DA SEFAZ DA PARANGABA,61,,,FORTALEZA,,252011,,100,150,SEFAZ,Concluída,Obra,"1042260,06"
4561,C004201100,MPA CONSTRUÇÕES,4/8/2013,17/5/2011,28/11/2011,CONSTRUÇÃO DA PRAÇA DA JUVENTUDE NO ESTADO DO CEARA NO MUNICIPIO DE QUIXERAMOBIM,661,,,QUIXERAMOBIM,,882011,,"28,62",150,S.ESPORTES,Cancelada,Obra,"1817736,78"
6698,052014SSPDS04,L23,1/8/2014,3/7/2014,3/7/2014,SERVIÇOS DE MANUTENÇÃO PREVENTIVA CORRETIVA E REFORMA EM PRÉDIOS PÚBLICOS - SSPDS - RESTRUTURAÇÃO DAS SALAS DO CIOPS,0,,,FORTALEZA,82013,096/2014,922087,100,30,SSPDS,Concluida,Manutenção,"46133,79"
6299,T011201003,VAP CONSTRUÇÕES LTDA,29/8/2013,4/4/2010,29/3/2010,"CONSTRUÇÃO DE 04 DELEGACIAS DE POLICIA CIVIL PADRAO II COM NOVA FACHADA NOS SEGUINTES MUNICIPIOS: JAGUARETAMA,ALTO SANTO SOLONOPOLIS E NOVO ORIENTE",489,,,SOLONÓPOLE,,0088/2010,,"97,44",180,SSPDS,Concluída,Obra,"975283,23"
7819,0222018SETUR01,CONSTRUCT,22/9/2018,26/3/2018,9/3/2018,"OBRA DE REQUALIFICAÇÃO DO MIRANTE DA TAIBA, NO MUNICÍPIO DE SÃO GONÇALO DO AMARANTE/CE",0,,,SÃO GONÇALO DO AMARANTE,20170008,020/2018,1036095,0,180,SETUR,Execução Fisíca Concluída,Obra,"335718,75"
7832,082018SEINFRA01,IEC,23/4/2021,9/5/2018,11/4/2018,"SERVIÇOS DE OPERAÇÃO E MANUTENÇÃO DO SISTEMA DE PROTEÇÃO CATÓDICA DO ACQUÁRIO DO CEARÁ
",0,,,FORTALEZA,20160001,031/2018,1013638,"7,29",1080,SEINFRA,Paralisada,Obra,"503850,67"
6398,IP04201200,CONSTRUTORA ASTRAL,5/1/2013,12/3/2012,5/3/2012,"REFORMA NAS INST. DO IPECE, LOCALIZADO NO CAMBEBA FORTALEZA-CE",240,,,FORTALEZA,,122012,,100,60,CED,Concluída,Obra,"316434,27"
