subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,3/31/2020,2/7/2019,2/10/2019,HarrisX,C+,3000,rv,.01569208,0,41,36,45.799591,41.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57490,93081,2/11/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/8/2019,2/11/2019,HarrisX,C+,3004,rv,.01562738,0,41,37,45.799591,42.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vS3NKBhHy54vD5lKRFHAx3BpyadMvot49AWcQBa2OdxJaN0YLyyfFPIjREh4305-ANnX-Q9VKFY1qiM/pubhtml/sheet?headers=false&gid=0,57491,93086,2/12/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/9/2019,2/12/2019,HarrisX,C+,3004,rv,.01554475,0,42,37,46.799591,42.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vR7d8icvsrAwonx9H1_i0CRpg2pG7jvyUu7FuLtbJwFdqiTWHcxOPMhvEVoAJvTC-85loCM6dglTvLq/pubhtml/sheet?headers=false&gid=0,57501,93102,2/13/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/8/2019,2/15/2019,HarrisX,C+,7010,rv,.07217934,0,41,36,45.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vSQDmj1wh-0JI_B4Qwkx4bEb6UPXILxm1Vvkzqx22x0lW1nWe5-rUpOWg4UWq1MDLDez3ItAHRXVC79/pubhtml/sheet?headers=false&gid=0,57530,93167,2/16/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/10/2019,2/13/2019,HarrisX,C+,3005,rv,.01547068,0,41,37,45.799591,42.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRtomaTan7Oci17ch1pHzQ8g81VHPnQW2U92gG3oca92hAEuXoUGzBQknH8BSp7JWP1GSE_ONthooBN/pubhtml/sheet?headers=false&gid=0,57514,93143,2/14/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/11/2019,2/14/2019,HarrisX,C+,3006,rv,0,0,41,36,45.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vTSzZrr0AWT95ucgUNu0phMSgjc6uhvdEbT20Ys7BXwtLqTsf32qMyUtQxtF5t7DfdPMIuXS3f4l36Y/pubhtml/sheet?headers=false&gid=0,57524,93154,2/15/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/12/2019,2/15/2019,HarrisX,C+,3006,rv,.01536097,0,41,36,45.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ86WhANLOtWCmtsToIahsuxPiNxVE2oDR3Hci0OmbP9wy1Buigbccpb3OlASW2UdFKUtLjFUg7kuW0/pubhtml/sheet?headers=false&gid=0,57529,93166,2/16/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/14/2019,2/16/2019,Emerson College,A-,1000,rv,1.4814268,0,52.9,47.1,50.599294,44.75422,"","",http://emersonpolling.com/2019/02/16/majority-of-americans-disagree-with-trumps-national-emergency-despite-a-plurality-agreeing-with-border-wall-extension/,57532,93169,2/16/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/13/2019,2/16/2019,HarrisX,C+,3000,rv,.01527463,0,42,37,46.799591,42.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57536,93192,2/19/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/14/2019,2/17/2019,HarrisX,C+,3000,rv,.01522169,0,42,36,46.799591,41.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57537,93193,2/19/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/15/2019,2/18/2019,HarrisX,C+,3002,rv,.01518154,0,43,35,47.799591,40.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQM5Qz9rWTS2Baxvvr1Pic87DIvaKLCOIXlFRZibUwDU0NxoU_4_PYjZw0sWLrS7s_DZxgYgOcgsr2l/pubhtml/sheet?headers=false&gid=0,57538,93194,2/19/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/16/2019,2/19/2019,HarrisX,C+,3005,rv,.01514847,0,43,35,47.799591,40.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vSKj8XLcW_4zeA-h5H4uPS9dL8_TZOeBwqoBd6ufGYTA8X9wr2mtrIQw7jp6ly70OLAxfP-0gByvAax/pubhtml/sheet?headers=false&gid=0,57545,93235,2/20/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/16/2019,2/20/2019,Public Opinion Strategies,B-,800,rv,1.088396,0,46,44,46.4696,43.224451,"","",https://pos.org/wp-content/uploads/2019/02/National-POS-Poll.pdf,57568,93268,2/22/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/15/2019,2/22/2019,HarrisX,C+,7010,rv,.07046393,0,42,36,46.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vSN_KjobuS8ULe6-MbShzZri54trneToZwYRoWIU9NnpbOnqjf6FVzAn4iD5jXHtPGcH084C-DeNov4/pubhtml/sheet?headers=false&gid=0,57572,93277,2/23/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/17/2019,2/20/2019,HarrisX,C+,3006,rv,.01510803,0,43,35,47.799591,40.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vTpbpdt96UEQmBKkMzwSaOkK8haBETlZELcQ5ceMzuZ4z0HH1KO0L3xAaOCWsz8D0DyEvpPQqBKuB13/pubhtml/sheet?headers=false&gid=0,57560,93251,2/21/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/18/2019,2/21/2019,HarrisX,C+,3007,rv,0,0,43,35,47.799591,40.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vSXaTtQWGKaQj0TRIW8zBdF4ZZNZI-aRCivagjlGAiTfCNbjr6gzJbHdQDAFMb8rbwGRhQu9-xz8txh/pubhtml/sheet?headers=false&gid=0,57565,93265,2/22/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/19/2019,2/22/2019,HarrisX,C+,3005,rv,.01505406,0,42,37,46.799591,42.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRIgtFTwh-74ZM8_O38603ae3WhlqGlNOY8EI0eaIhr4ibFfYherSaPvOPtzMGn_GtO2eRf4dy_UOOj/pubhtml/sheet?headers=false&gid=0,57570,93276,2/23/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/20/2019,2/23/2019,HarrisX,C+,3000,rv,.01500604,0,42,38,46.799591,43.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57584,93304,2/26/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/22/2019,2/24/2019,Morning Consult,B/C,1994,rv,.36246394,0,42,36,44.403647,38.753657,"","",https://morningconsult.com/wp-content/uploads/2019/02/190245_crosstabs_POLITICO_RVs_v1_ML.pdf,57593,93336,2/26/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/21/2019,2/24/2019,HarrisX,C+,3000,rv,.01497755,0,42,37,46.799591,42.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57585,93305,2/26/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/22/2019,2/23/2019,D-CYFOR,"",1000,rv,.83863416,0,46,39,46.429524,40.045749,"","",https://projects.fivethirtyeight.com/polls/20190301_US.pdf,57608,93385,3/1/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/22/2019,2/25/2019,HarrisX,C+,3003,rv,.01496597,0,43,36,47.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRgWxIxtfjAhHL26HCNq-nefl23zskZHovonvBMTYl6swKSGb--nipO25Suq32olCqEd9nTMce7vI4u/pubhtml/sheet?headers=false&gid=0,57578,93296,2/26/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/23/2019,2/26/2019,HarrisX,C+,3004,rv,.01494407,0,42,36,46.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vS1M1FIicEmim7i1sqDJvBoWz6M8t_ZEIS1OtzJtZKKPb7YCIk4O9vGbjrEToD267KYUIWl4TwYrX0R/pubhtml/sheet?headers=false&gid=0,57592,93356,2/27/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/22/2019,3/1/2019,HarrisX,C+,7010,rv,.06962166,0,42,36,46.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRDwRR2k1PUpI-uAP9X3KndtnfiMtIxJnaFQWM-5_UHB9buV6O17oO9Gnzpas9Wqi-cZniYnvucWqAP/pubhtml/sheet?headers=false&gid=0,57610,93397,3/2/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/24/2019,2/27/2019,HarrisX,C+,3003,rv,.01491254,0,42,36,46.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ3QLm40sOkN5JFK0G1Mfaihr6vF0P93ca_WBv4OHBKccdz6TByUchJ4z6wR9H_pG8FUb0TSY3FL3V0/pubhtml/sheet?headers=false&gid=0,57598,93368,2/28/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/25/2019,2/28/2019,HarrisX,C+,3006,rv,0,0,42,36,46.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ_lfxq47ON3pe7lXRYcm0YGW0BEi24b2DSUmfHOg9SuWFVNtS2Ope_VwlzexqaKjtEsO_8QuXoiXx1/pubhtml/sheet?headers=false&gid=0,57604,93382,3/1/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/26/2019,3/1/2019,HarrisX,C+,3006,rv,.0149094,0,42,36,46.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vSqSSE59zSl22NS94tYH8pq3HYxtI8IgICzCIPFBGxpXN-ED5etlqQPb9wxD8PQjaw3n1j_DQyRe70H/pubhtml/sheet?headers=false&gid=0,57609,93396,3/2/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/27/2019,3/2/2019,HarrisX,C+,3000,rv,.01486852,0,42,36,46.799591,41.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57619,93419,3/4/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/28/2019,3/3/2019,HarrisX,C+,3000,rv,.01484923,0,42,36,46.799591,41.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57620,93420,3/4/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,3/1/2019,3/4/2019,HarrisX,C+,3007,rv,.01485802,0,42,36,46.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmWEzHx3GI4v7cXDaSma_f9HNDzU7kHV6zz48mv-q1LF-8W6LiGa4dDsd3krtxY3JFQIx4M3tna4K6/pubhtml/sheet?headers=false&gid=0,57621,93427,3/5/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,3/2/2019,3/5/2019,HarrisX,C+,3006,rv,.01482919,0,41,37,45.799591,42.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vTNgYc5wIUlX6jnkviDx3mlP69CPnII4WqpSrxgW5LGacToD9MhHVu5syKUH2agIN6PJYZ9C0aVqCJX/pubhtml/sheet?headers=false&gid=0,57634,93469,3/6/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,3/1/2019,3/8/2019,HarrisX,C+,7013,rv,.06908507,0,42,37,46.799591,42.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRYtUhn_lP8U_FX1cOAu4QnNYXafR7s3dD52zh8c33iQtru3fqCVxXZazDOBldR3DRO-aH0sLzUVX_1/pubhtml/sheet?headers=false&gid=0,57653,93499,3/9/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,3/3/2019,3/6/2019,HarrisX,C+,3005,rv,.01480113,0,42,36,46.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQKiVcavgziSSz6vq62gbIkwQq-eu63wTFGEijxPbqhufy70_aUwi_XWMFTchzh8S7z6FGg-ab1jfT1/pubhtml/sheet?headers=false&gid=0,57643,93487,3/7/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,3/4/2019,3/7/2019,HarrisX,C+,3004,rv,0,0,42,37,46.799591,42.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRapf3CL768PIUdKXBXY4uQ8l4Nhzo7NoW55oJgNwgG0AtTzDQWCpTo1T8ZIQEMc_LExDdehZicrF-L/pubhtml/sheet?headers=false&gid=0,57647,93492,3/8/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,3/5/2019,3/8/2019,HarrisX,C+,3004,rv,.01478692,0,42,37,46.799591,42.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vTJ8bK89zIzCQXxUMgAnLvKMF65ZM1HB6Vvshx7V4hoJt-ZjiVFoRg907ODO1KxdA2do9lGqXB8AGep/pubhtml/sheet?headers=false&gid=0,57650,93498,3/9/2019,18:00:07 31 Mar 2020
